일상 생활
"답,대답"
"그냥,그저"
"대립,대치"
"신선하다,새롭다,새,신"
오세아니아
"황홀,휘황하다,휘황찬란하다"
"못생기다,못나다,추하다,밉다"
"잃어버리다,분실,잃다"
식장
홍콩
"대답,답"
신호등
"보물,보석,보화"
"전달,전갈,전하다"
"터뜨리다,폭발,폭파"
레바논
화산
보석상
겹치다
장군
"축사,축하사"
"원래,본래"
"식,축하,잔치,행사,파티"
(화학)실험
"기금,기본금"
유행
신문사
신문
"오해,곡해"
"반짝,반짝이다"
세례
"원금,자금,원가,본전"
전과
"고백,고해"
맥주
"등대,광탑"
빵
선전
"대화,대담"
별
불평
신기록
행사장
"새해,신년"
"본질,본성,근성,부성,부질,본바탕,성근,솔성,천질,체성,품성,품질"
"고발,고자질,일러바치다"
날리다
"근본,기반,기본,기초,바탕,뿌리"
새어머니
새아버지
빵집
"광,광선,라이트,빛,조명,비추다,비치다"
신도시
혁신
"게우다,구토,토하다"
"제과점,빵집"
오케이
"망신,체면을 구기다"
"뇌물을 주다,매수"
"수뢰,뇌물을 받다"
고등
고급
문법
"글월,문,문구,문장"
"배부르다,부르다"
불화
입장을 바꾸다
(불빛을)켜다
폴란드
토요일
"땅,육지,토지"
삼키다
드레스
"주다,내밀다,내주다,건네주다,제공,교부"
어지럽다
어마어마하다
육군
배낭
"고등학교,고교"
"까다,벗기다"
문인
문어
아프리카
시인
슬그머니
"이불,침구,덮다"
"켜다,켜지다,전깃불"
"가입,등록"
"넣다,담그다"
감
물러나다
"붓다,부풀다,부풀리다,부어있다"
수제비
"창원,창원시"
도토리
만
낙하산
퇴직금
공수부대
등록비
"박학,유식"
"뽀뽀,입맞춤,키스,맞추다"
빼버리다
회비
"이어 내리다,전통,내려오다"
"고등학생,고교생"
회원
호두
탈퇴
"틈,(바닥에 생기는)균열"
유행
"튀르키예공화국(약칭 튀르키예),터키"
중국
(양복을)맞추다
"속어,비속어"
"호각,호루라기,휘슬"
"짧다,가깝다"
"숙부,작은아버지"
특수 교육 지원 센터
지점
"일개월,달"
묵도
"저자,저작자,지은이,필자"
높이
기타
"근방,가까이,근처,부근,인근"
"유예,연기,물리다,미루다"
"브래지어,브라"
"바느질,꿰매다,침선"
"별로,그다지"
"필기,쓰다,적다,쓰기,저술,서술"
미미하다
(입을)닫다
"말없다,묵묵하다,침묵,함구"
놀리다
"순서,목차,순번,순위,절차,차례,프로그램"
"숙모,작은어머니"
"솔직하다,정직"
"특히,각별,별,특별,특수,특별히"
"뜨다,개안"
장롱
사기꾼
"축구,차다"
"점차,점점,차차,차츰"
"사기,기만"
"보류,유보"
"그만하다,고만하다,이만하다,저만하다"
"먼데,먼 곳"
"방금,방재"
성냥
월세
"월급,급료,봉급,월봉"
"영원,무궁,길이,불후,영구,영영"
지부
이
"작다,다소,약간,조금,약소하다,자그마하다,적다,조그마하다"
울릉도
울다
"연필,목필"
"사무원,사무직원"
"사무실,서무실"
사무
위인
"준말,약어"
"머리카락,모발,두발,머리털"
"기록,기술"
미소
"슬프다,슬픔,슬퍼하다,설움"
"음력,음세,태음력"
"옷,의복,의상"
가야금
"길이,장단,단장"
"길다,오래다,오래"
긍휼
"멀다,멀리"
껌
깨다
(불을)지르다
특허권
특수 교육 대상자
특례
"불쌍하다,가련하다,가엾다,애처롭다,측은하다,자비"
"봉급생활자,봉급자,샐러리맨"
울음
소액 재판
오열
기다랗다
축구장
"잠깐,잠시"
"거의,거개,대부분,주로"
골인
나비넥타이
특수교육
비정
연지
사무소
월부
"월,달"
"오랜만,오래간만,오랫동안,오랜,모처럼"
기자
"훌륭하다,위대하다"
사무직
"걷어차다,(사람을) 차다"
작은할아버지
"오랜만,오래간만,오랫동안,오랜,모처럼"
허술하다
"동기,동창,동창생"
파키스탄
특성
"고루고루,유사,흡사,근사하다,비슷하다,유사하다,흡사히"
재단사
잣
"천,일천"
천년
흙
"백,일백"
모래
"먼지,티끌"
백화점
백제
"백일,백날"
대가
저울
"십,열"
"지다,일몰,해넘이"
자금
금리
구매자
"사용자,소비자,컨슈머"
(신체기관)장
(이가)빠지다
ㅇ
"비리,부정"
"문득,언뜻"
누명
내다
"인상,오르다,뛰다"
"넘어가다,서,저물다,지다"
선교사
"사용,소비,쓰다,이용"
"손목시계,시계"
"부끄럽다,부끄러움,수줍다,수치,창피"
"왕비,황후,군부"
계
전도사
"사탕,알사탕,캔디"
인정
"외할아버지,외조부"
없어지다
"장사,가게,상점,시장"
"잔소리,지껄이다"
"목소리,음성,발음,목청,언성,부르다"
"기침,감기,해수"
"구매,구입,쇼핑,매수,매입,사다"
어머
떠들다
미안
의
"유익,이익,이득,이롭다"
"외할머니,외조모"
(값이)오르다
"영업,상업"
시월
수입
"수,자수"
"비율,백분율,퍼센트,성향"
튀니지
"-면,임시,그러면"
"뜨다,동,해돋이"
횡재
"현금,맞돈,현찰,지폐"
"비지땀,땀,땀방울"
투자
"죄송하다,사과,미안하다"
지출
잡채
재산
제거
"가루,분말,분"
성금
싸다
보았다
잇다
감기
비다
모금
여왕
"연락,연결,관계,관련,상관,연관"
실업
실수
"부자,자산가,재산가"
부유
올림픽
찾다
인라인스케이트
"(불가능)없다,불가능"
외손자
외손녀
본 적 없다
경제
"간단하다,간략하다,간편하다,단순,편리,편의"
"대비,상왕비"
"왕,제왕,황제"
"욕심,탐"
"계속,연속,이어,내내,-면서,지속,끊임없이"
단추
돼지
"가치,재산"
김씨
가늘다
"납부,납입,지급,지불,내다,결제"
"뇌물,뇌물을 주다"
"보다,시각"
대나무
"기술,재능,재주"
"모금,수금,헌금"
"뱉다,침,타액"
"수납,보수"
신나다
이자
"고기,가죽,살"
용도
서해
"서쪽,서,서녘,서방"
"요금,값,사용료"
"시각장애인,맹인"
"노력,안간힘,공들이다,애쓰다,힘쓰다"
내기
대장
비싸다
"프랑스어,불어"
소멸시효
"하찮다,보잘 것 없다"
금고
유대
"고함,비명,아우성,부르짖다,외치다,지르다,소리를 지르다,소리치다"
"힘들다,벅차다,힘겹다"
먼동
"환전,환금"
"시장,장,매점"
"관계없다,막론하다,무관하다,상관없다,상관하지 않다"
근육
"열흘,열흘날"
"월급쟁이,봉급생활자,샐러리맨"
"넘어가다,대충,무성의하다"
보여주다
분수
출금
"값,대금,가격,금액,돈,금전,화폐"
돼지고기
동해
"경악,깜짝,놀라다"
"회계,재정,출납,수지"
"일출,동,아침,(해가)돋다"
"금융,은행"
"기사,기술사,기술자"
무상
가느다랗다
동아시아
달인
피부
"할인,내려가다,내리다"
"공,영"
"가시다,사라지다,상실"
동남아시아
ㄹ 리 없다
포도주
포도
금세
"장수,상인"
프랑스
"프로페셔널,프로"
"폭등,급등"
궁색
"시간,한 시간"
의리
"천,일천"
"맞지 않다,어울리지 않다,적합하지 않다,조화롭지 않다"
"승리,승리하다,이기다"
"무조건,무작정,불사하다"
러시아
두통
남대문
브라질
미치다
매일
매일
"마찬가지,피장파장,매일반,매한가지"
"징그럽다,(좋지 않은 기억이나 생각이) 떠오르다,(마음에) 걸리다"
"들키다,탄로"
척추장애인
대명사
구어
"자각,독각,연각"
"강요,강구"
창안
"내부,안,이내,내용,속"
백점
아찔하다
"더하기,플러스,보태기"
"대리,대신,대치,대체,전환,바꾸다"
"(온도를)내리다,(온도가)내려가다"
"위다,(나이)한 살 위"
알아듣다
"재해,피해,해"
"시도,해보다,보이다"
"하나,일,한번"
"혹시,혹,혹여"
"끊어지다,-다가"
"계절,사계,사계절,사철,철,시절,철기"
겉
핵
체험
징그럽다
"더러,드물다"
